Waldort,WE-Typ,ST,BE,MA
075B1,WO,,,MA DF 2014/15; Schäden Käfer / Wind 2015/16/18/19/20/21; ZV nächstes Dez. PL
075B2,WO,,,"MA DE 2012; DF erforderlich, QP fördern"
075B3,WO,,"BE ein KI/LH UE, einzelne TA, viel TA Keimlinge am Boden","MA AH AG, HB als Brennholz ab ende Dez. abgeben"
075B4,WO,,,"MA Schäden Käfer 2020, DE gemeinsam mit DF in B2"
075C1,WO,,"BE aus AD 2014, ungleichalt, einige LA/TA/LH UE, Trieblausbefall an DG","MA DG 2014-2018 AF, Schutz gegen Wild 2015-2020; Düngung 2016/17; Rüsselkäferbekämpfung 2015/16 ; maximal KE"
075C2,WO,,,
075C3,WO,,,
075C4,WO,,,MA AG 2013/21; DP 2013; DE
075D1,WO,,"BE ein ältere FI TA KI BU im O, mehr TA am Hangfuß, an Bach ungleichalt und viel BU/HB","MA laufend Schadholz 2016-2020, keinesfalls LI, da recht Labil, belassen, ZE"
075D2,WO,ST STOE 81/82 Bachbegleitend,BE eiz Alt-FI-ES im O,"MA DE 2007, DF, Stabile fördern"
075E1,WO,,"BE aus AD 2014, ungleichalt, einige KI/LA/TA/LH UE","MA DG 2014-2018 AF, Schutz gegen Wild 2015-2020; Düngung 2016/17; Rüsselkäferbekämpfung 2015/16 ; maximal KE"
075E2,WO,,,"MA DE Kronenpflege bei LA, gute H/D bei FI"
075E3,WO,,,
075E4,WO,,,
075E5,WO,"ST 2 Teile, STOE 71/72 im S","BE Auff 2001, ein SL FI KI, LÄ-BU-UE, EI-UE im S dort auch etwas AH",MA AG 2013/21; DP 2013; DE
075F0,WO,,"BE eiz LH, nahezu reine KI im W, TA-FI-Zwibest -20/+10 J wirtschaftliches Alter, zeitgerechte DF verabsäumt, viel abgestorbener Zwischenbestand",MA Schäden Käfer 2018-2020; Säuberung fördern von KI/TA
07531,NG,,,
076A0,WO,,,"MA AF 2003, AG 2013/17; DE"
076B0,WO,"ST im N flacher sowie örtl STOE 72, Lebensraum des Ziegenmelkers (Nachtschwalbe)","BE vier beeindruckende DG aus etwa 1930 bei Dismashütte, ein FI - eher im NO, eiz TA, im N sowie nahe Stein 5/8 lichte Partien, angebl ein DG aus etwa 1980 nahe Stein 5/8, Jgw/Zwibest -10/+20 J, noch ausbaufähig","MA DF 2011, JF ende Dezennium TA/LH fördern"
076C0,WO,,"BE ein TA - v a am SO-Unterhang, FI grtls im W sowie lgs Rauhhirschbach, FI-Partie bei 14/6, ER-Horste im SW, Mistelbefall an KI, flächig verjüngt einzeln BU/EI aufkommend","MA DF 2011, laufend Schäden Wind und Käfer 2014-2020, ZV Mistelbefall eindämmen"
07631,NG,,,
07641,NG,,,
077A1,WO,,,
077A2,WO,ST STOE 71/72,"BE mehr BU im SW, mehr KI im O, mehr FI im N, inhomogene Mischung","MA tlw DE 2004/05/06 - v a im SO, DF 2020; Rest DF"
077A3,WO,,,MA DE 2017; DF
077A4,WO,ST STOE 71/72,"BE recht dicht, NH dominierter Bestand mit einzeln BU beigemischt","MA DE 2014; weitere DF unbedingt erforderlich, optimaler Zeitpunkt schon verpasst"
077A5,WO,,,"MA DE/DF teils sehr dicht, Kronenpflege, LH dicht lassen"
077B1,WO,"ST örtl STOE 61, KI-Bon 4-5","BE teils SW Charakter; BU eher im NO, örtl randlich sowie östl B3 flächig verjüngt, VJ ungleichalt, KI noch nicht Hiebsreif","MA Schäden Käfer 2020; LI möglich, Kronenpflege bei KI"
077B2,WO,,,MA DE 2012/13; DF um LA zu erhalten
077B3,WO,,,
077B4,WO,,"BE sehr ungleichslt; abgestaudet 2002 - vorher BU-Protzen, DG AH aus Erg 2003, AH grtls lgs Str, einige TA unter Schirm, DG Kronenverlichtung","MA DP 2013, DE TA fördern, Artenreichtum erhalten"
077C1,WO,,"BE KI grtls in N-Hälfte, LA im S dort mehr BU, vielerorts durchforstet, im S noch ungepflegt und FI teils abgestorben, LA nur geringe Kronen","MA DE 2012/13/18, DF im S, um LA zu erhalten!"
077C2,WO,,,"MA DE 2012 auf 0,5 Ha; DF unbedingt erforderlich"
077C3,WO,,,"MA DE 2012/13 erfolgt, DF"
077D1,WO,,,"MA Schadholz 2019/20; ZV, DF"
077D2,WO,,,MA unbedingt weitere DF notwendig!
077E1,WO,,"BE im W dichte 35j FI, im übrigen Bestand ungleichalte FI/BU NVJ, FI stabile Kronen","MA Schäden Käfer 2014; ende Dez. LI, im W DF gemeinsam mit C1"
077E2,WO,,,
077F0,WO,,,
07731,NG,,,
07732,NG,,,
078A1,WO,,"BE reine FI im SO, mehr KI sowie durch Schadereignisse lichter im S/SW, KI-Dominanz im W an Stein 3 sowie örtl im N nahe Str, BU-reiche Teile meist dichter",MA DF 2006/2017; in LH reichen Teilen mittig weitere DF erforderlich
078A2,WO,,,MA DE (Gasse) 2017; DF
078B1,WO,,,
078B2,WO,,,"MA DE/DF 2013, Schneedruckschäden 2015, labil ZV"
078B3,WO,,"BE +/- 5 J, NH grtls im N, südl B1 protzige s ungleichaltrige BU mit BU-FI-TA-UE, FI-UE im S zw Str-Ende und Bach,","MA DE 2011/2012/2017, Schäden Käfer 2016"
078B4,WO,,,"MA DE 2017 erfolgt, Kontrolle DF ende Dezennium"
078B5,WO,,,
078C1,WO,,,
078C2,WO,,,
078C3,WO,ST oben karger,"BE +/- 5 J, FI grtls im O, einige Weiden und KB beigemischt",MA zum teil DE 2012/17; DF notwendig
078D0,WO,,"BE stk KI im S da weitständig erzogen - dort flächiger protziger BU Zwischenbestand, im N dichter mit weniger Vjg, im W einige QP; TA-Vjg stk verbissen","MA PL, S2 DF ab mitte Dezenium"
07831,NG,,,
07881,NG,,,
079A1,WO,ST im S flacher,"BE gute LÄ, gute KI im NO, im NW voll bestockt, im S lichter, Jgw +/- 5 J, TA stark verbissen","MA noch belassen v a wg LÄ, AD etwa 2030 - Erg DG, TA belassen"
079A2,WO,"ST im S flacher, STOE 71/72","BE mehr KI in S-Hälfte, mehr FI im NO, mehr LÄ im NW, im S durch Schadholznutzung licht, KI noch nicht Hiebsreif","MA NVJ und Hiebsreife bei KI abwarten, belassen ZV"
079A3,WO,,,
079B1,WO,ST STOE 71-81,"BE dicht mit grtls KI etwa in Mitte, räumdig im N, Jgw-Partie an Zugweg, flächig verjüngt, Jgw +/- 10 J; KI noch zu geringe BHD","MA PL: JF mit gleichzeitiger Kronenpflege bei KI/LA/TA, Feinerschließung anlegen"
079B2,WO,,"BE +/- 5 J, im N noch dichte Partien, sonst grtls DE erfolgt, noch gute H/D, einzeln LA an Gassen","MA DE 2009/2013, DF"
079B3,WO,ST im S flacher,"BE +/- 5 J, W-Hälfte eher etw älter, O-Hälfte eher etw jünger, jüngere Partie im SO, BU grtls im NO","MA DE 2009/2013, DF"
079C0,WO,ST örtlich felsig,"BE eiz FI, oben mehr KI mit mehr BU-Jgw, unten mehr BU, naturnaher Wald, NVJ sehr ungleichalt",
079D0,WO,,"BE etw älter im unteren Bereich, etw jünger und geringwüchsiger im S, mehr BU etwa in Mitte","MA Schneeschäden 2006, DE 2009/2013, Schäden Käfer 2016, DF FI wird sonst instabil"
079E0,WO,"ST STOE 81/72, Grabeneinhang","BE wstl mehr LH als in A3/B3, BU meist von minderer Qualität und zwieselig, im W Partien mit s protziger BU, örtl FI-Partien, LA zt. ausgefallen","MA DE 2009 (FI), DF unbedingt erforderlich, LA fallen aus!"
080A1,WO,,,
080A2,WO,,"BE Naturvjg/Zwibestreste +/- 10 J, sehr inhomogen und strukturreich, zahlreiche BI/SL","MA 2003 mit DG, AG 2015, DP 2016, DE ab Mitte Dez. DG!"
080A3,WO,,"BE Auff 2003 mit DG - örtl angebl auch REI, einige BU beigemischt meist protzig","MA AG 2012/2020, DE"
080A4,WO,ST örtl STOE 72 mit vl Brombeere,"BE Zaun mit grtls AH und REI im O, ein FI-Stangenhölzer an O-Rand, einige BU Protzen beigemischt (Biotopbäume)","MA AF 2003 DG, AG 2012/2020/2021, JP 2012, DE"
080B1,WO,"ST unten STOE 81, kalkbeinflusst Bingelkraut!","BE BU-reich sowie dichter im NO, ein s stk LÄ im N an Zugweg, nach S hin lichter mit mehr FI sowie flächig verjüngt, Vjg -5/+10 J","MA BU-reicher Teil im NO aus Naturschutzgründen belassen, sonst RM"
080B2,WO,"ST im S wüchsiger, im N weniger sprießlich","BE BU im S, teils s labil",MA ND Kronenpflege
080B3,WO,,,
080B4,WO,ST STOE 81/82,"BE ober Str etw älter mit mehr BU, unter Str etw jünger mit mehr SL FI, inhomogen","MA DE/DP 2013, AG 2014, DE DG freistellen, BU dicht lassen"
080B5,WO,"ST flächig verkrautet, vl Brennessel Holler","BE KH 2000, Auff 2003/05 mit grtls DG(Nachweisung 1600 Stk - ?), Auff 2001(1000 LÄ - ?), Auff 2002(300 FI, 750 AH - ?), Stammschäden an DG durch Wild","MA DP 2014, AG 2014, DE Mischbaumarten erhalten"
080C1,WO,ST STOE 71 im N,"BE +/- 5 J, grtls DF 2009, im NW noch dichte Partie, lückig nahe C2, teils labile Kronen","MA ND fraglich? Kronenpflege, ZE"
080C2,WO,,BE eiz FI SL,"MA DE 2011, DF"
080D1,WO,"ST STOE 71 oben, Dauerwald geeignet","BE ein TA. zlr BI südl Str, BU-Horst an Grenze nahe Stein 30/31, HB-Streifen im O, ein Alt-LÄ, im N noch dichter, TA/BU VJ verbissen","MA JF, ZV, bejagen"
080D2,WO,,"BE KI sowie ein LÄ BU BI randlich, davon gewachsene DE, bereits schlechte Verhältnisse","MA DE, vorsichtig eingreifen, Stabilitätspflege"
080D3,WO,,,
080E1,WO,,"BE einzeln BU beigemischt, viel absterbender Zwischenbestand, H/D wird schlechter","MA Schneeschäden 2013, DE erforderlich"
080E2,WO,ST verstraucht und Brombeere,"BE Käferfläche, an Rand zu Wiesenfläche einige ältere HB/QP/BU und ein astige KB, inhomogen","MA Auff 2007/08, AG 2012, Schutz gegen Wild 2013, weitere AG bei AH/RE notwendig"
080F1,WO,,"BE ein ER, im O, im W etw jünger mit ein BU",
080F2,WO,,,
08031,NG,,,
08032,NG,,,
081A1,WO,"ST STOE 71/72, fast eben im S lgs Str","BE zlr HB, mehr KI im S, mehr FI im NW - dort labil, mehr BU am O-Rand, KI teils ausfallend",MA laufend DF 2006/08/09/13-16/18-19; BU weiter Dimensionieren! KI Krone freistellen
081A2,WO,ST STOE 72/71,"BE vl BU-Zwibest, BU-Jgw an Grenze, NH im W - dieses zwiständig und ausfallend",MA DF 2006/08/09; BU weiter Dimensionieren
081B1,WO,,,
081B2,WO,,"BE DG-Verband etwa 4x2,5m, geastet, EI grtls im W - dort auch ein KI HB, REI etwa in Mitte - schlechte Qualität, BU grtls im O - dort auch ein BU-UE","MA DE 2016/2017, mitte Dez. weitere DF BU/EI erhalten"
081C0,WO,"ST alte Hohlwege, tiefgründiger im N, an Ackerfläche angrenzend","BE KI grtls im S - teils absterbend, BU HB grtls im N - dort dichter, wesentlich EI-reicher als Nachbarwaldort, Kronenpflege EI!",MA DF EI Kronen noch recht gering
081D0,WO,,,
081E0,WO,ST Streifen zw Gastrasse und L-Str,"BE ein HB, mehr KI sowie eiz FI im S, mehr LH in N-Hälfte, viel BU NVJ","MA DF, Kronenpflege"
081F0,WO,"ST Streifen zw Gastrasse und L-Str, karger Rücken zw Str und L-Str - dort Müllablagerungen, idyllisches ""Rotes Kreuz"" im S","BE +/- 10 J, eiz TA im SW, gut verjüngt","MA DE 2013; DF FI mit schlechten Kronen entnehmen, EI fördern, Wegesicherung"
081T0,WO,,,
08131,NG,,,
08132,NG,,,
08141,NG,,,
08142,NG,,,
082A1,WO,,,"MA laufend Schadholz, DF 2012-2020, weitere DF: mindere BU entnehmen, zu dichte KI-Partien im S und W Kronenpflege"
082A2,WO,,"BE einzelne TA, BI, FI beigemischt","MA geastet 2003/07, DE 2018, DF mitte Dezennium"
08231,NG,,,
083A1,WO,ST flacher im S,"BE +/- 10 J, ein HB QP, SL, mehr LH im NO, mehr KI im SW, im S FI/BU NVJ unter Schirm, im N dicht","MA DE 2005/2017, DF 2018-2019; DF KI/LA/BU erhalten, ZV"
083A2,WO,,"BE evtl bis 10 J älter, ein BU, durchforstet, FI teils labil, im W kl. Blöße","MA 2017 DE 2018/19 DF, weitere DF um H/D und KI zu fördern"
083A3,WO,"ST STOE 71/72, steiler im NW mit vl Weißmoos, BFW Versuchsfläche im W","BE etw jünger im W, BU-reicher im SO - dort interessanter BU-UE-Kandelaber, sonst FI dominant","MA tlw EDF 2005, 2017; DF im O notwendig"
083B1,WO,,,"MA DF 2012-2015 und 2019, Schadholz 2015/17/20, ZV"
083B2,WO,ST ein Felsen am N-Rand,"BE +/- 10 J, ein nahezu reine LÄ-Horste mit sehr geringer Kronenausstattung, mehr FI in W-Hälfte, BI-Streifen am NW-Rand, REI im O, inhomogen","MA Schäden Käfer 2015/16/20, DF LA erhalten"
083B3,WO,,,
083C0,WO,,,
083D1,WO,,,"MA DF 2012/19, JF 2014, Schadholz 2013/17/20, ende Dez. RM"
083D2,WO,"ST STOE 81/72, alte Wegparzelle in Mitte - nicht mehr erkenntlich","BE nach O hin jünger, SL = VB KB HB, LH v a lgs Str im O","MA DE 2015, DF 2018, Schäden Schnee/Wind 2015/2020; DF gute H/D Werte erhalten"
083D3,WO,ST unten STOE 81,"BE eiz LH, älterer FI Einschluss","MA DP 2014/17, AG 2015, weitere AG, dann DE"
083D4,WO,,,
08331,NG,,,
08332,NG,,,
08333,NG,,,
084A1,WO,"ST STOE 72/71, teils Hangneigung über 30°","BE mehr BU im W, FI-reichere Partien mittig an Zugweg und im NO, ein TA, noch ausbaufähig","MA nicht vor A2 nutzen - Rand zu A3 Absäumen 1/2 Baumlänge, dann LI"
084A2,WO,,,
084A3,WO,,,
084B1,WO,,"BE an Forstweg flächig verjüngt, im Bestand unverjüngt, Lücke mit älterem Jgw-Horst im O","MA LI, VJ einleiten"
084B2,WO,"ST trockener Hang, FI geringwüchsig","BE zlr BI am W-Rand, jüngere Partie mit nettem BI-Hain im SW-Spitz - belassen, BU-UE im N, im O teils undurchforstet","MA DE 2013/2017, Schäden Käfer 2013/17/18, weitere DF vor allem in O!"
084B3,WO,ST oben karger,"BE oben etw jünger sowie sehr dicht, älterer Horst im NO an Str, einz. ältere BU beigemischt","MA EDF 2005/2013, DF Kronen erhalten"
084B4,WO,,"BE ältere Horste +/- 5 J, ein ältere DG im N an Str, einz. BI und TA","MA DP/AG 2017, DE pätestens Mitte Dezennium"
084C1,WO,,,
084C2,WO,"ST sehr windexponiert, 140jg Umtrieb da zeitgerechte DF verabsäumt - daher extensive Bewirtschaftung bis zur Endnutzung","BE evtl etw jünger, sehr dicht und labil","MA keinesfalls DF od dgl, Stabilitätspflege an KI/LA an Straßenrand, ZV"
084D0,WO,,"BE im W 10 J jünger, im SW und O lichter - sonst voll bestockt, AH-Jgw-Horste auf ehem Schadflächen, FI/BU NVJ im O, örtl LÄ-reichere Partien, eiz Stroben(WY) im N","MA DF 2014-2016, Käferschäden 2016/17/20; ND Vorrats und Stabilitätspflege, ZV"
084E1,WO,"ST Felsblöcke als Schneisensteine, vergrast","BE Bestandesreste an Rand, Mitte blößig, NVJ stark verbissen und teils unter Grasschicht","MA JP, KE bejagen!"
084E2,WO,,"BE FI bereits differenziert, im W 10J. älter, im N ein DG Horst",MA DE optimales Zeitfenster verpasst
084E3,WO,,,
084F1,WO,,,
084F2,WO,ST STOE 71/72,"BE etw mehr LH im O, örtl recht weitständig - dort s grobastig, BI fällt aus, LH im Zwischenbestand","MA Astung 2000/08, DE 2014-2015, DF"
08431,NG,,,
08432,NG,,,
08433,NG,,,
085A0,WO,ST flacher/muldenartig in Mitte,"BE im S etw lichter, ein BU-Zwibest, ein TA LÄ, unten mehr FI, oben mehr KI sowie örtl TA/FI-Vjg, BHD bei KI noch ausbaufähig","MA VJ Einleiten, Gassen anlegen + seitliche Entnahme"
085B1,WO,"ST STOE 71/72, steiler im SW","BE mehr BU im SW, mehr KI im NO - dort örtl s vl TA-Zwibest","MA LI: Anlage von Gassen und seitliche Entnahme, Förderung der TA"
085B2,WO,ST muldig,"BE AH mit eher bescheidener Qualität, FI zwiständig, mehr BU im O, reiner AH im W","MA AG 2014, DE ende Dez. prüfen"
085C0,WO,ST unten tiefgründiger mit STOE 81,"BE ein AH, nahezu reines LH zw Str und Bach","MA Hiebsführung abstimmen auf Nachbarwaldorte, LI: Dimensionieren der BU!"
085D1,WO,ST steiler im N,"BE LÄ meist horstweise, ein BU-Zwibest, oft Nudum, meist geringe BHD und viel abgestorbener Zwischenbestand","MA LI: Dimensionierung von LA/KI/BU, Anlage von Gassen"
085D2,WO,"ST unten tiefgründiger, ganz oben flacher","BE LÄ eher in Mitte, LA teils schon geringe Kronen","MA DE 2013 erfolgt, DF LA fördern"
085E0,WO,,,
085F1,WO,,"BE +/- 15 J, eiz LH, Zweischichtig, FI in Unterschicht, LA/KI in Oberschicht",MA DF LA Kronen fördern
085F2,WO,"ST 2 Teile, schöner Felsblock 5/11","BE FI im O, eiz REI GE BI KI LA randlich, ein BU-Zwibest im NW, tlw erstdurchforstet","MA DG geastet, Schäden Käfer 2014, DF"
085F3,WO,,,
085F4,WO,ST im W vergraster Rücken,"BE DG grtls Auff 2006 - im SO tlw 2009, etw ältere KI-BU-AH-NVjg im W an Tr-Weg, dort teils lückig einz. Birnen-Gruppe, ein EI REI - v a im SO","MA Schutz gegen Wild 2012/13; Düngung 2012/14, JP 2012/13, AG 2015, DP 2016; DE"
08531,NG,,,
08532,NG,,,
08533,NG,,,
08534,NG,,,
08541,NG,,,
086A1,WO,"ST örtlich STOE 71-81, viel Blockwerk - v a im S",,
086A2,WO,"ST 10-30°, alte Wegparzelle - nicht mehr erkenntlich","BE ein AH BU, zeitgerechter EDF-Zeitpunkt versäumt, labil","MA DE 2013/14, Schäden Wind 2018, ZE"
086B1,WO,ST STOE 72 im S - dort Klebriger Salbei,"BE ein TA im S, etw älter im NO - dort starke - jedoch sehr astige FI, ein LÄ; karge Lücke im SW bei Stein 2/K und 3/K dort Schutzwald Charakter, vl Totholz",MA im besserwüchsigen O LI
086B2,WO,,"BE DG grtls FI überwachsen, minderer BU-Horst im S, ein TA, DG-Alter fraglich - eher jünger","MA AG 2015, DF"
086B3,WO,,"BE BU-UE im SW, ein BI/LÄ, ungepflegt und teils schlechte H/D Verhältnisse, DE verpasst",MA DF/ND Vitale FI Kronen retten
086C1,WO,,"BE mehr BU im NO, ein TA LÄ - v a in S-Hälfte, etw älter mit ein TA-BU-Zwibest im NO - dort starke - jedoch sehr astige FI/KI, FI-reichere Partien labil, viel Totholz","MA belassen, ZV"
086C2,WO,,,
08631,NG,,,
08632,NG,,,
087A1,WO,,,
087A2,WO,"ST muldig, im S steinig","BE +/- 10 J, Älteres eher im N, Jüngeres mit grtls BU eher im S, sehr inhomogen","MA Maßkrugstärke noch nicht erreicht für DE, ende Dez. prüfen"
087B1,WO,"ST örtl STOE 72 - dort Bergschwingel, karger im SW","BE BU-reicher im NW, mehr KI im SO, FI durch Käferbefall entmischt, eine KB",MA DF LH Kronenpflege restliche FI entnehmen
087B2,WO,,"BE +/- 5 J, KI grtls oben - horstweise, unten etw lückig mit ein LH, sonst grtls dicht, FI-Fehlbestockung","MA DE 2013 erfolgt, Schäden Käfer 2018; DF KI pflegen!"
087B3,WO,ST unten felsig,"BE oben reine FI, FI-Fehlbestockung, eiz LH","MA DE 2013, Schäden Wind 2020, DF KI pflegen"
087C1,WO,,,MA DF 2014; laufend Schadholz Käfer/Wind 2015/16/20; weitere DF in BU reichem W
087C2,WO,,,
087C3,WO,,,
087D1,WO,"ST STOE 71/04 im W, örtl Bingelkraut und Blatterbse, viel Zwiebeltragende Zahnwurz","BE KI grtls im W, im O durch Dichtstand NH ausgefallen, AH aufgeforstet in Lücken nahe Zugweg, VJ ungleichalt 10-30j, recht inhomogen","MA LI im O, sonst belassen"
087D2,WO,"ST steinig und steiler in Mitte, flacher im O","BE KI-reicher im N, BU-reicher im O, BU mit eher bescheidener Qualität, ein Jungwuchskegel mit BU/HB/FI im N","MA DF 2013, Schadholz 2016/20/21, Jungwchskegel DE mitte Dez. (Brennholz HB)"
087E0,WO,"ST STOE 72 etwa in Mitte- dort Bergschwingel, karger Rücken im N an (K), Verebnung oben lgs Tr-Weg","BE BU-reicher nahe Stein 4/K, FI-reicher etwa in Mitte - dort labil, mehr KI oben und im SO",MA belassen
087F0,WO,,,
08731,NG,,,
08732,NG,,,
08733,NG,,,
088A1,WO,ST eben,"BE eiz TA, nahezu flächig verjüngt, im S Schadholznutzung",MA keinerlei aktive Entnahmen - auch nicht zwecks Jgw-Förderung - da FI zu labil
088A2,WO,,"BE bis 5 J jünger, ein BU SL",MA DE
088A3,WO,"ST 2 Zäune, vl Besenginster und Brombeere","BE FI vorwüchsig, ein Bestreste im W","MA JP 2014, DP 2014/2015 "
088B1,WO,,,"MA 2014/16/17/19/20 laufend Schadholz, gringe Zuwächse, für VJ einleiten zu labil, GH in Mitte möglich"
088B2,WO,ST unten steiler,"BE bis 5 J älter, reine FI im N im S LA beigemischt, dort undurchforstet und labil, H/D verschlechtert sich, unbedingt DF","MA DE 2013, DF , im S DE90 LA freistellen"
088B3,WO,"ST Kalkbeinflusst: Bingelkraut, etc.","BE BU-HB-Horst am unteren Str-Ende, BU-LI-EI-UE-Horst nahe Rosegghütte, Hüttenaussicht zuwachsend","MA AG 1999/2007, DE 2016/17, weitere DE bei LH (Brennholz)"
088C1,WO,"ST Rücken im W - dort örtl STOE 61, sanfter Graben im S - dort STOE 72 mit örtl Bergschwingel","BE Plenterwaldartig, BU-reichere Partien, nahezu reine FI im O, eiz TA, sehr inhomogen, NVJ ungleichalt 10 - 30j.","MA JF im S an Zugweg, ZV"
088C2,WO,,,
088C3,WO,,BE eiz LH und TA im W,"MA DE 2016/17, DF unbedingt erforderlich"
08831,NG,,,
08832,NG,,,
089A1,WO,"ST Einhang, STOE 81/72","BE Alter geschätzt, ein BU-Zwibest, LA/TA beigemischt, flächig VJ, hauptsächlich TA!",MA TA Reichtum erhalten! JF LA/TA als Überschirmung erhalten
089A2,WO,,,
089A3,WO,"ST im W ehem gezäunt, viel Brombeere","BE +/- 5 J, Älteres mit mehr FI eher im NO, Jüngeres mit mehr LÄ im S - dort auch eiz REI, abwechslungsreiche Mischung",MA DE Artenreichtum erhalten!
089B1,WO,"ST karger Rücken im NW, am Graben im N wüchsiger und steiler","BE BU-Streifen im W lgs Str, FI-reicher am Graben, im O deutlich älterer Altholzrest, lichter an Steinbruch","MA Schöden Käfer/Wind 2020, DF nicht durchgeführt, nachholen!"
089B2,WO,,,
089B3,WO,,"BE UE grtls im N - dort inhomogen, diffuse Abgrenzung zu B1, homogen im S - dort reine FI mit ein BU-Zwibest, im O labile und älter","MA DE noch ausständig, unbedingt erforderlich um Kronen zu erhalten!"
089C1,WO,"ST tiefgründiger mit STOE 72 im N und unterhalb von Stein 3/13 - dort Bergschwingel, Rücken westl Stein 2/13 - dort örtl felsig","BE eiz BU, LÄ im NO, mehr Ki am Rücken, ein reine FI-Partien, labil, durch Schadereignis aufgerissen","MA ZV, maximal im W JF"
089C2,WO,,,"MA DE 2013, weitere DF unbedingt erforderlich"
089C3,WO,"ST S Hang, verkrautet und verstraucht","BE aus Schadholznutzung, im W 25j AH Horst, VJ ungleichalt, DG im O frisch gefegt","MA AF 2020 (DG, LA, AH), weitere EG DG, AH AG, JP Brombeere"
089C4,WO,,,
089D0,WO,,,
089E0,WO,"ST seichtgründiger mit STOE 71 am Rücken, tiefgründiger mit STOE 72/81 in den Grabeneinhängen, Expos NW-SW, 20-30°, teils Kalkbeinflusst (Bingelkraut)","BE im NO ältere BU-Grp, mehr FI im SO, ein KI-UE und s astige FI zw 2/L und 3/L, mehr KI am Rücken, mehr BU an den Gräben, NH fällt aus","MA 2018/19/20 Schäden Käfer, LH DF"
089F0,WO,,,
08931,NG,,,
08932,NG,,,
08941,NG,,,
090A1,WO,"ST Expos N bis W, seichtgründiger im SW, wüchsiger Grabeneinhang im NO, flächig Bergschwingel im N","BE 5 J jünger im SW, 5 J älter im NO, lückig im N an Str - dort stk verkrautet, sonst voll bestockt, mehr BU sowie ein KI im SW, an Straße ein älterer VJ Kegel","MA DF 2013, Schadholz 2016/18/20; im O ende Dez. RM"
090A2,WO,,,
090B1,WO,,"BE eiz TA LÄ, flächig verjüngt, teils Zimmerhoch, ungleichalt; TA verbissen, KI beeindruckend mit BHDs bis 50cm und mehr, waldbauliches Anschaungsobjekt zum Thema Kiefer und deren Möglichkeiten, Altholzinsel",
090B2,WO,"ST flacher im O, Rückenlage mit STOE 71 im W","BE eiz LH KI, teils bereits ungünstige H/D Verhältnisse","MA DE 2005/2015, Schäden Käfer/Wind 2020; DF Stabiles LH und NH fördern"
090B3,WO,,,
090B4,WO,,"BE mehr BU an B1, LÄ grtls im NO, ein BI, reine LH/NH Komplexe, an Straße im O LA gepflanzt und gezäunt","MA DF ab mitte Dez., ZV"
090B5,WO,,,
090C1,WO,"ST Natura 2000; tiefgründiger im O - dort Bergschwingel, seichtgründiger im NW","BE mehr BU in O-Hälfte, mehr NH in W-Hälfte, gute LÄ-Qualität, TA-Relikt, NVJ 10-25j., viel Totholz",
090C2,WO,ST unten tiefgründiger mit STOE 81,"BE bis 5 J älter im S dort auch lichter, örtl mehr BU - horstweise, BU-UE v a in Mitte, reine FI im N, einz LA im S","MA DE 2014/16/17, DF dichte Teile"
090D0,WO,"ST Rücken im N - nördlich davon Expos N/NW, sonst Expos S/SW im höheren Ausmaß","BE mehr KI in O-Hälfte, mehr FI in W-Hälfte, nahezu reine FI nördl Rücken, im S nahezu flächig verjüngt, FI stabil im W pflegebedürftig, einz. LA im O","MA DF 2004/05, Schneebruch 2006, Schäden Käfer 2016/17, Windwurf 2020; DF Kronenpflege"
090E0,WO,ST interessante Felsformation im S,"BE ein BU - v a im N, eiz TA in Mitte, Jgw in N-Hälfte, örtl licht durch Schneedruck 2006, teils absterbender Zwischenbestand","MA DF, Kronenpflege bei KI"
090F1,WO,"ST STOE 71/72, eben im NO, zu Verkrautung neigend (Brombeere)","BE ein EI TA, LH grtls im O, KI-reicher im W, bis 80% KI im SW, Jgw ungleichalt und flächig vorhanden, lückig im O","MA DF 2015/17, ende Dez. JF im O dort BHD besser"
090F2,WO,ST STOE 71-81,"BE ein unterständige FI, DG eher weitständig, geastet 2003, teils Kronenverlichtung, BI nur noch einzeln","MA DE 2013/14, DF, LH pflegen"
090G0,WO,"ST 140jg Umtrieb da zu dicht erzogen - daher noch recht schwach, Spechtbäume","BE ein FI im W, LÄ v a im O, mittig reine BU",MA LI um zu dimensionieren!
090H0,WO,"ST STOE 72/71, 10-20°, 140jg Umtrieb wg LÄ","BE 10 J jünger sowie voll bestockt unter Zugweg, sonst 5 J älter, mehr LÄ im W, mehr BU im SO, TA-reichere Horste etwa in Mitte, örtl lückig, gute Stabilität, einiges Totholz",MA PL
090I1,WO,"ST STOE 71/72, Geländebruch am SW-Rand, flacher sowie tiefgründiger im SO","BE BU eher im S - dort auch ein TA, ein FI-Zwibest, sehr unterschiedliche BHD, teils 50cm erreicht, teils nur 35 cm",MA LI ab mitte Dezennium TA Jungschicht unbedingt erhalten!
090I2,WO,,,
090I3,WO,"ST STOE 71/72, 15-20°, karger Rücken im W, tiefgründiger im O","BE bis 20 J älterer Streifen mit ein BU-Jgw im O, durch Schadholz lichter sowie verkrautet","MA starke Käferschäden 2018, ZV"
090J0,WO,,,
09031,NG,,,
09032,NG,,,
09033,NG,,,
09081,NG,,,
